File Name,Rating
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,0
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,-
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
../optimized_L270_0.025_3int_200/data_trefoil_optimized.csv,=
