File Name,Rating
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,-
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,-
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,-
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,=
../optimized_w0.007_0.05_100_center_plane_v3/data_trefoil_optimized.csv,0
