% Model,Meta_Atom2_Loss_Less.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 7 2024, 18:05"
% Dimension,3
% Nodes,16663
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd2.Ey)
-5.590962572248597E-8,-1.6531962500875003E-7,-5.775000000000002E-7,577003.3909985488
-5.648975257816908E-8,-1.6700245679690177E-7,-5.775000000000002E-7,607182.8875656353
-5.7548578062618227E-8,-1.6601338313945138E-7,-5.775000000000002E-7,601815.3473790159
-9.8022629684194E-8,-1.633205496742351E-7,-5.775000000000002E-7,345729.1666378251
-1.0034973928196464E-7,-1.6196344980710982E-7,-5.775000000000002E-7,329712.4275524524
-9.782276394582632E-8,-1.6045441843654402E-7,-5.775000000000002E-7,365748.7474139065
-1.0703640249780069E-7,-1.687032955001882E-7,-5.775000000000002E-7,225716.2725690503
-1.0936351209557125E-7,-1.6734619563306296E-7,-5.775000000000002E-7,217308.8896999413
-1.0865058691062539E-7,-1.5712264676771936E-7,-5.775000000000002E-7,184257.19565649173
-1.0612361157448704E-7,-1.5561361539715362E-7,-5.775000000000002E-7,223975.9883924714
-1.0956337783393893E-7,-1.702123268707539E-7,-5.775000000000002E-7,210222.30700232505
-9.549565434805564E-8,-1.6181151830366935E-7,-5.775000000000002E-7,382700.57590802136
-1.084507211722577E-7,-1.5425651553002832E-7,-5.775000000000002E-7,180326.73304061053
-1.2368303480550014E-7,-1.771166338172599E-7,-5.775000000000002E-7,47446.4551445488
-1.230444619184065E-7,-1.6795931794016548E-7,-5.775000000000002E-7,36772.52905061835
-1.1701160085850594E-7,-1.7385439962586543E-7,-5.775000000000001E-7,139138.39576402295
-1.1662320631971954E-7,-1.736644803440069E-7,-5.775000000000002E-7,142510.39769091067
-1.1474635294109193E-7,-1.620862889038353E-7,-5.775000000000002E-7,135268.31824939878
-1.1551598751473698E-7,-1.7312306644833362E-7,-5.775000000000002E-7,154485.44559144758
-1.1574759154533209E-7,-1.6110791673509696E-7,-5.775000000000002E-7,120363.83479666612
-1.1460319659142345E-7,-1.600333863452991E-7,-5.775000000000002E-7,128771.88694128033
-1.161490268789018E-7,-1.6148484470387735E-7,-5.775000000000001E-7,116547.09410202889
-1.265479035662802E-7,-1.7851751298349754E-7,-5.775000000000002E-7,-14839.705002104265
-1.2600552195341823E-7,-1.707396071949974E-7,-5.775000000000002E-7,-4350.191897523921
-1.1679692221742509E-7,-1.7399502852416258E-7,-5.775000000000002E-7,148136.19745383973
-1.1713481511445317E-7,-1.7422504008625246E-7,-5.775000000000001E-7,146053.67931903704
-1.1648149098280669E-7,-1.7420165712395963E-7,-5.775000000000002E-7,151202.67601395532
-1.193744746027366E-7,-1.8096215355957575E-7,-5.775000000000002E-7,129078.20698602604
-1.1750841369624396E-7,-1.7534886094034412E-7,-5.775000000000001E-7,142425.117478243
-1.1289471908571503E-7,-1.7655123311247634E-7,-5.775000000000002E-7,188864.03324669617
-1.2496439486309135E-7,-1.7955481731546153E-7,-5.775000000000002E-7,14620.773199017576
-1.210621917313813E-7,-1.8211102190377535E-7,-5.775000000000002E-7,70322.24191616563
-1.2263771670470073E-7,-1.8107894744996873E-7,-5.775000000000002E-7,46805.99228927902
-1.1998990870059529E-7,-1.828134391564787E-7,-5.775000000000002E-7,86116.72753435973
-1.1487004439147327E-7,-1.8030989995677746E-7,-5.775000000000002E-7,164521.31834632112
-1.1715998859967125E-7,-1.8466722649208918E-7,-5.775000000000002E-7,122854.62777501854
-5.602151490401798E-8,-3.080848967359552E-8,-5.775000000000002E-7,-3766646.2664970807
-5.80268948059896E-8,-3.236185707480122E-8,-5.775000000000002E-7,-3663645.4046839452
-5.802981545298724E-8,-2.984621490521869E-8,-5.775000000000002E-7,-3780038.0636433917
-6.010885434295002E-8,-3.131138176721934E-8,-5.775000000000002E-7,-3675275.897548379
-5.4955758419900386E-8,-1.667843228887707E-7,-5.775000000000002E-7,596606.7968939627
-1.1623208030528293E-7,-1.6076901730774492E-7,-5.775000000000002E-7,117874.41593191549
-1.1589421710628629E-7,-1.6061643267070903E-7,-5.775000000000002E-7,119888.02940124583
-1.2661813913248165E-7,-1.654595341236862E-7,-5.775000000000002E-7,12668.694410870037
-1.2412599872482529E-7,-1.6433404208822932E-7,-5.775000000000002E-7,38108.79227364529
-1.2755179419420308E-7,-1.5285088819545408E-7,-5.775000000000002E-7,44930.43098320641
-1.281277971911122E-7,-1.5244797464628238E-7,-5.775000000000002E-7,42804.68267934336
-1.2772611560166292E-7,-1.5226656856325194E-7,-5.775000000000002E-7,45855.65521212904
-1.1647607358400126E-7,-1.5866606886854002E-7,-5.775000000000002E-7,118770.34365918075
-1.2619123647318183E-7,-1.5157339163422044E-7,-5.775000000000002E-7,56545.33683001697
-1.1949433398312395E-7,-1.4854895914573165E-7,-5.775000000000002E-7,107576.82309145866
-1.1774173836391349E-7,-1.4775745783034109E-7,-5.775000000000002E-7,120687.13075745574
-1.284178779347433E-7,-1.4994780394376637E-7,-5.775000000000002E-7,51390.207640109016
-1.202549238211287E-7,-1.4599948699038554E-7,-5.775000000000002E-7,104907.94110099916
-1.280290559478604E-7,-1.5329901343092584E-7,-5.775000000000002E-7,39108.04609912349
-1.2963745524974274E-7,-1.3943641516887857E-7,-5.775000000000002E-7,81610.95867090867
-4.792445288634587E-8,-8.043700245319259E-8,-5.775000000000002E-7,-2306164.546540652
-5.028535248048433E-8,-8.236155868824326E-8,-5.775000000000002E-7,-2193149.8277086033
-5.028195519594495E-8,-7.93520422515731E-8,-5.775000000000002E-7,-2368571.0643275008
-5.2662649292525684E-8,-8.107639132580803E-8,-5.775000000000002E-7,-2262828.748405316
-7.052499078090951E-8,-5.2124421376867923E-8,-5.775000000000002E-7,-2916774.042341235
