% Model,Meta_Atom2_Loss_Less.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 7 2024, 18:04"
% Dimension,3
% Nodes,16663
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-5.590962572248597E-8,-1.6531962500875003E-7,-5.775000000000002E-7,-78798.15215149304
-5.648975257816908E-8,-1.6700245679690177E-7,-5.775000000000002E-7,-78243.73147188191
-5.7548578062618227E-8,-1.6601338313945138E-7,-5.775000000000002E-7,-112566.79380342479
-9.8022629684194E-8,-1.633205496742351E-7,-5.775000000000002E-7,-508104.01473237464
-1.0034973928196464E-7,-1.6196344980710982E-7,-5.775000000000002E-7,-478844.8724826769
-9.782276394582632E-8,-1.6045441843654402E-7,-5.775000000000002E-7,-497396.4300572215
-1.0703640249780069E-7,-1.687032955001882E-7,-5.775000000000002E-7,-505574.03897415736
-1.0936351209557125E-7,-1.6734619563306296E-7,-5.775000000000002E-7,-479387.90255487687
-1.0865058691062539E-7,-1.5712264676771936E-7,-5.775000000000002E-7,-577219.8761982049
-1.0612361157448704E-7,-1.5561361539715362E-7,-5.775000000000002E-7,-589442.1897355409
-1.0956337783393893E-7,-1.702123268707539E-7,-5.775000000000002E-7,-468180.6293012169
-9.549565434805564E-8,-1.6181151830366935E-7,-5.775000000000002E-7,-516541.85041459545
-1.084507211722577E-7,-1.5425651553002832E-7,-5.775000000000002E-7,-611636.6319345202
-1.2368303480550014E-7,-1.771166338172599E-7,-5.775000000000002E-7,-307427.1931776004
-1.230444619184065E-7,-1.6795931794016548E-7,-5.775000000000002E-7,-443875.9383610737
-1.1701160085850594E-7,-1.7385439962586543E-7,-5.775000000000001E-7,-399745.15611124435
-1.1662320631971954E-7,-1.736644803440069E-7,-5.775000000000002E-7,-402504.91016988235
-1.1474635294109193E-7,-1.620862889038353E-7,-5.775000000000002E-7,-536573.8419940341
-1.1551598751473698E-7,-1.7312306644833362E-7,-5.775000000000002E-7,-411841.82791460014
