File Name,Rating
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,-
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,-
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,=
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,0
../optimized_L135.0_0.03_100_center_plane_v1/data_trefoil_optimized.csv,-
